서비스ID,서비스명,소관기관,분야,지원유형,대상 연령(최소),대상 연령(최대),청년 관련 근거,보조금24 주소
627000000147,사각지대 다문화가족 지원,대구광역시,생활안정,서비스(돌봄),18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000147
627000000152,한부모가족복지시설 퇴소자 자립정착금지원,대구광역시,주거·자립,현금,18,45,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000152
627000000721,청년 희망주택 대출이자 지원,대구광역시,주거·자립,현금(융자),19,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000721
627000000727,희망옷장(면접정장 무료대여),대구광역시,고용·창업,현물,17,40,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000727
627000000731,예술창작공간 레지던시 프로그램,대구광역시,문화·환경,현금,25,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/627000000731
628000000171,소상공인 보증지원제도,인천광역시,고용·창업,현금(융자),,,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/628000000171
628000000742,"인천 전세사기 피해자 주거안정 지원사업(이자, 월세, 이사비, 보증료)",인천광역시,주거·자립,현금,,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/628000000742
628000000748,재직청년 드림for청년통장 지원,인천광역시,생활안정,현금,18,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/628000000748
628000000758,(인천)장애인 평생교육이용권 지원,인천광역시,보육·교육,이용권,19,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/628000000758
629000000170,대학생 등 학자금 대출이자 지원,전남광주통합특별시,보육·교육,현금(융자),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/629000000170
629000000183,한부모가족 복지시설 퇴소자 자립 지원,전남광주통합특별시,주거·자립,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/629000000183
630000000116,성취 장학금 장학생 선발,대전광역시,보육·교육,현금(장학금),16,35,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000116
630000000120,새마을지도자 자녀 장학금,대전광역시,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000120
630000000122,외국인유학생 장학생 선발,대전광역시,보육·교육,현금(장학금),19,39,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000122
630000000131,미래두배 청년통장,대전광역시,주거·자립,현금,18,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000131
630000000132,대전 대학생 학자금 대출 이자 지원,대전광역시,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000132
630000000160,자립준비청년 자립정착금 지원,대전광역시,주거·자립,현금,19,20,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000160
630000000652,구직청년 면접용 정장 무료 대여,대전광역시,고용·창업,이용권,19,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000652
630000000661,대전형 임대주택 공급,대전광역시,주거·자립,기타,18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000661
630000000666,대전 청년성장 프로젝트(청년카페),대전광역시,고용·창업,기타(상담)||서비스(일자리)||시설이용,15,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000666
630000000667,대전청년 월세지원,대전광역시,주거·자립,현금,19,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000667
630000000668,청년 주택임차보증금 이자지원,대전광역시,주거·자립,현금(융자),19,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000668
630000000670,대전형 코업(co-op) 청년 뉴리더 인재 직무체험 제공 안내,대전광역시,고용·창업,서비스(일자리),18,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000670
630000000677,대전광역시 가족센터 주관 사회적 관계망 형성 프로그램 안내,대전광역시,주거·자립,기타,25,39,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000677
630000000681,대전광역시 청년근로자 기숙사(대전청년하우스) 입주 안내,대전광역시,생활안정,시설이용,18,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000681
630000000686,청년만남지원사업 <연In대전> 프로그램 참가 안내,대전광역시,임신·출산,기타,25,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/630000000686
631000000113,지역공동체일자리,울산광역시,고용·창업,서비스(일자리),18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/631000000113
